Order_ID,Order_Date,Customer,Region,State,City,Category,Product,Quantity,Sales,Discount,Profit,Salesperson
1,2025-10-07,Customer_12,North,Delhi,Delhi,Furniture,Desk,3,146295.0,0,32064.19,Salesperson_10
2,2025-04-12,Customer_92,West,Maharashtra,Mumbai,Electronics,Smartphone,4,107577.6,20,6092.55,Salesperson_11
3,2025-03-21,Customer_28,West,Maharashtra,Pune,Clothing,Shirt,3,117945.15,15,15929.98,Salesperson_13
4,2025-01-23,Customer_94,East,West Bengal,Kolkata,Office,Printer,6,110596.8,20,12843.63,Salesperson_8
5,2025-04-27,Customer_99,North,Punjab,Amritsar,Clothing,Jacket,10,131010.0,0,8051.36,Salesperson_5
6,2025-07-01,Customer_27,North,Delhi,Delhi,Office,Pen,8,303552.0,10,27521.09,Salesperson_11
7,2025-11-24,Customer_89,East,Bihar,Patna,Furniture,Desk,3,78524.7,15,9225.63,Salesperson_9
8,2025-04-19,Customer_73,South,Telangana,Hyderabad,Electronics,Smartphone,1,17997.05,15,2104.49,Salesperson_15
9,2025-10-15,Customer_69,East,West Bengal,Kolkata,Office,Monitor,3,50898.15,5,5683.13,Salesperson_5
10,2025-01-25,Customer_15,West,Rajasthan,Jaipur,Clothing,Jeans,3,86424.6,15,6285.43,Salesperson_3
11,2025-10-11,Customer_2,South,Telangana,Hyderabad,Electronics,Headphones,7,235334.4,15,42896.42,Salesperson_11
12,2025-05-15,Customer_65,North,Haryana,Faridabad,Clothing,Shirt,5,137712.0,5,22506.4,Salesperson_13
13,2025-09-29,Customer_1,South,Telangana,Hyderabad,Clothing,Jeans,3,71261.4,5,13172.3,Salesperson_10
14,2025-10-18,Customer_11,East,Odisha,Bhubaneswar,Electronics,Tablet,5,80960.0,0,8923.24,Salesperson_2
15,2025-11-07,Customer_55,West,Maharashtra,Mumbai,Furniture,Bookshelf,9,91700.1,10,16681.94,Salesperson_4
16,2025-04-26,Customer_9,South,Telangana,Hyderabad,Office,Pen,8,234049.2,15,18782.69,Salesperson_6
17,2025-01-17,Customer_43,North,Haryana,Gurugram,Furniture,Chair,2,93778.0,0,10056.33,Salesperson_2
18,2025-08-31,Customer_53,South,Tamil Nadu,Coimbatore,Furniture,Desk,10,325227.0,15,36018.67,Salesperson_4
19,2025-11-27,Customer_13,North,Delhi,Delhi,Clothing,Shoes,7,217742.0,0,47542.04,Salesperson_1
20,2025-08-05,Customer_24,West,Rajasthan,Jaipur,Electronics,Smartphone,4,41488.0,20,6727.42,Salesperson_5
21,2025-02-17,Customer_97,West,Maharashtra,Mumbai,Office,Printer,1,34590.4,20,8959.15,Salesperson_14
22,2025-01-02,Customer_50,South,Karnataka,Mysuru,Office,Monitor,4,107128.0,0,9765.71,Salesperson_5
23,2025-10-24,Customer_95,West,Gujarat,Surat,Office,Notebook,4,75791.0,5,22144.41,Salesperson_9
24,2025-09-29,Customer_21,North,Haryana,Faridabad,Electronics,Laptop,10,253968.0,20,71072.13,Salesperson_1
25,2025-11-01,Customer_6,North,Delhi,Delhi,Electronics,Smartphone,7,46793.6,20,5220.01,Salesperson_10
26,2025-12-10,Customer_83,North,Punjab,Ludhiana,Clothing,Jeans,6,87166.8,10,12983.19,Salesperson_5
27,2025-04-20,Customer_65,West,Gujarat,Ahmedabad,Electronics,Headphones,10,373960.0,0,25547.14,Salesperson_5
28,2025-12-27,Customer_39,South,Tamil Nadu,Chennai,Furniture,Sofa,5,46061.5,15,11903.96,Salesperson_10
29,2025-03-21,Customer_35,North,Haryana,Faridabad,Electronics,Smartphone,5,40320.0,0,9499.56,Salesperson_5
30,2025-01-27,Customer_12,South,Telangana,Hyderabad,Furniture,Sofa,9,263379.6,10,72780.77,Salesperson_11
31,2025-08-15,Customer_71,West,Gujarat,Ahmedabad,Electronics,Tablet,3,114083.1,10,10312.6,Salesperson_12
32,2025-10-26,Customer_71,West,Rajasthan,Jaipur,Electronics,Laptop,3,108765.0,0,28131.93,Salesperson_3
33,2025-12-08,Customer_14,West,Maharashtra,Mumbai,Clothing,Jacket,1,22751.55,5,5017.1,Salesperson_6
34,2025-06-20,Customer_53,West,Rajasthan,Jaipur,Furniture,Desk,3,82560.0,0,7830.0,Salesperson_13
35,2025-08-24,Customer_45,South,Tamil Nadu,Chennai,Electronics,Headphones,1,29779.65,5,2974.78,Salesperson_5
36,2025-05-23,Customer_45,South,Karnataka,Bengaluru,Furniture,Bookshelf,6,112548.0,0,32832.76,Salesperson_11
37,2025-05-16,Customer_5,West,Rajasthan,Jaipur,Electronics,Laptop,5,48808.0,20,14185.24,Salesperson_2
38,2025-12-29,Customer_56,West,Gujarat,Surat,Office,Printer,7,254608.55,5,28944.06,Salesperson_1
39,2025-06-03,Customer_65,South,Tamil Nadu,Coimbatore,Electronics,Tablet,10,210720.0,0,48452.65,Salesperson_5
40,2025-03-31,Customer_79,West,Gujarat,Surat,Clothing,Jeans,4,95383.6,15,20920.44,Salesperson_10
41,2025-06-14,Customer_60,East,Odisha,Bhubaneswar,Clothing,Jacket,4,91753.6,20,18503.53,Salesperson_8
42,2025-11-14,Customer_43,West,Rajasthan,Jaipur,Office,Notebook,2,30556.8,20,6599.15,Salesperson_2
43,2025-09-01,Customer_79,South,Telangana,Hyderabad,Furniture,Desk,3,6300.0,0,700.63,Salesperson_14
44,2025-12-19,Customer_1,North,Punjab,Ludhiana,Furniture,Bookshelf,8,202851.6,5,17626.35,Salesperson_15
45,2025-03-04,Customer_59,North,Punjab,Amritsar,Furniture,Bookshelf,1,35178.5,5,9827.73,Salesperson_3
46,2025-09-01,Customer_58,West,Rajasthan,Jaipur,Office,Monitor,9,254131.65,5,59953.18,Salesperson_5
47,2025-05-01,Customer_35,South,Telangana,Hyderabad,Office,Notebook,5,146635.0,0,33489.41,Salesperson_6
48,2025-02-02,Customer_54,East,Bihar,Patna,Furniture,Desk,4,97287.6,5,22045.84,Salesperson_7
49,2025-10-27,Customer_90,East,Bihar,Patna,Office,Printer,4,95315.6,15,26327.09,Salesperson_1
50,2025-10-07,Customer_78,West,Gujarat,Ahmedabad,Clothing,Jacket,7,156576.0,20,37089.55,Salesperson_15
51,2025-12-14,Customer_52,South,Tamil Nadu,Chennai,Clothing,Shoes,8,16333.6,15,2189.23,Salesperson_12
52,2025-08-08,Customer_18,South,Tamil Nadu,Chennai,Electronics,Headphones,10,374870.0,0,26610.85,Salesperson_14
53,2025-07-14,Customer_36,West,Maharashtra,Mumbai,Clothing,Shoes,6,73292.1,15,9653.41,Salesperson_13
54,2025-02-05,Customer_100,West,Gujarat,Ahmedabad,Office,Printer,9,31695.3,10,3361.46,Salesperson_11
55,2025-12-09,Customer_15,North,Delhi,Delhi,Furniture,Chair,10,99617.0,5,8124.29,Salesperson_10
56,2025-03-25,Customer_40,South,Tamil Nadu,Coimbatore,Clothing,Jeans,10,402960.0,0,98502.75,Salesperson_2
57,2025-06-04,Customer_88,North,Punjab,Ludhiana,Office,Notebook,2,74675.7,5,5636.17,Salesperson_10
58,2025-01-07,Customer_54,North,Haryana,Gurugram,Clothing,Shoes,6,24091.2,20,5104.58,Salesperson_14
59,2025-11-30,Customer_35,West,Maharashtra,Pune,Clothing,Shoes,3,82764.0,5,19321.16,Salesperson_10
60,2025-05-05,Customer_97,West,Gujarat,Surat,Clothing,Jacket,4,22244.4,10,6015.06,Salesperson_8
61,2025-05-13,Customer_44,West,Gujarat,Ahmedabad,Office,Pen,3,92488.2,5,12828.69,Salesperson_5
62,2025-05-04,Customer_89,East,Bihar,Patna,Furniture,Chair,4,162146.0,15,27912.54,Salesperson_8
63,2025-10-25,Customer_48,West,Gujarat,Ahmedabad,Electronics,Tablet,4,102607.6,5,12985.15,Salesperson_8
64,2025-04-09,Customer_41,East,Odisha,Bhubaneswar,Clothing,Shoes,5,92673.0,10,9974.81,Salesperson_2
65,2025-02-21,Customer_25,South,Karnataka,Bengaluru,Office,Pen,10,279056.0,20,33695.92,Salesperson_5
66,2025-01-28,Customer_71,South,Tamil Nadu,Chennai,Clothing,Shirt,9,71239.5,10,4372.6,Salesperson_5
67,2025-06-24,Customer_24,South,Telangana,Hyderabad,Electronics,Laptop,10,162639.0,15,27596.35,Salesperson_1
68,2025-01-28,Customer_20,East,Odisha,Bhubaneswar,Electronics,Headphones,8,34272.0,20,7106.69,Salesperson_3
69,2025-09-25,Customer_49,East,West Bengal,Kolkata,Electronics,Headphones,10,316536.0,20,33686.33,Salesperson_8
70,2025-04-17,Customer_81,West,Gujarat,Surat,Clothing,Shirt,10,490020.0,0,140585.54,Salesperson_4
71,2025-07-29,Customer_58,East,Bihar,Patna,Furniture,Desk,3,110025.0,0,9806.88,Salesperson_12
72,2025-04-30,Customer_34,West,Gujarat,Ahmedabad,Furniture,Sofa,5,197922.5,15,13418.14,Salesperson_13
73,2025-06-07,Customer_77,South,Tamil Nadu,Chennai,Furniture,Desk,5,49105.0,0,3187.38,Salesperson_12
74,2025-08-13,Customer_11,East,Odisha,Bhubaneswar,Office,Pen,7,102709.6,20,19000.8,Salesperson_10
75,2025-01-11,Customer_98,North,Punjab,Ludhiana,Clothing,Shirt,2,24803.2,20,4880.79,Salesperson_11
76,2025-04-03,Customer_75,East,Bihar,Patna,Furniture,Bookshelf,9,330457.05,15,92203.53,Salesperson_7
77,2025-06-18,Customer_53,West,Maharashtra,Pune,Clothing,Shoes,6,129240.0,0,34175.36,Salesperson_12
78,2025-07-26,Customer_66,West,Gujarat,Surat,Electronics,Headphones,2,38001.6,10,4971.31,Salesperson_14
79,2025-09-13,Customer_81,North,Haryana,Faridabad,Office,Printer,4,124113.6,10,25525.01,Salesperson_8
80,2025-11-19,Customer_78,North,Delhi,Delhi,Furniture,Sofa,8,314568.0,15,25277.59,Salesperson_13
